compound	number	bright	mental	giant	example
body	12	quickly	tree	popular	nothing
hurt	2	evidence	thou	support	division
pick	4	certainly	dress	why	directly
reach	7	such	sky	visit	saddle
brass	6	program	first	exchange	highest
equator	6	review	mathematics	season	higher
sense	45	merely	frozen	return	chief
worker	8	throat	catch	flag	list
steel	3	composition	ability	section	year
lose	44	carried	store	piece	remember
solve	55	birth	wherever	accept	that
mail	5	became	swung	shirt	numeral
canal	6	discuss	apple	bat	from
fair	7	pond	group	seven	zoo
within	41	son	statement	doll	rocket
label	3	pupil	connected	origin	itself
let	1	yellow	winter	valley	melted
other	0	because	fuel	chart	accident
function	0	seat	likely	rabbit	worker
attack	44	activity	compass	fifteen	problem
sheet	8	row	bottom	quite	decide
better	7	bottom	probably	pot	beneath
college	23	nodded	entire	date	least
problem	5	local	rays	kill	myself
shop	76	firm	farm	language	mathematics
block	84	war	orbit	aloud	dry
group	8	variety	stretch	neck	beginning
chair	11	exclaimed	almost	frighten	toward
character	3	him	eaten	consonant	noise
felt	33	average	whenever	enter	while
chicken	81	wait	force	believed	bite
fight	32	town	cup	feet	done
protection	5	fierce	won	into	stems
announced	0	kept	dead	bus	couple
shallow	55	arrange	branch	making	daughter
pine	31	increase	mental	our	known
door	8	hour	slide	drove	garage
dog	21	old	sale	us	instance
beat	77	twenty	selection	married	slabs